CLAVE EDO,Clave del Actor,No ID ATRI,Edad,Superficie,InAI,Rendimiento,Autoconsumo,Clientes,nRadiality,Capitales Num,Capitales
TAB,TABER176,23869,51,2,0.111111111,1.5,50,1,0.528,6,Enlace e interface
TAB,TABER177,23870,66,2,0.111111111,1.5,50,1,0.528,3,Interface
TAB,TABER178,23871,59,2,0.111111111,1.8,50,1,0.264,1,Apego
TAB,TABER179,23872,64,4.5,0.111111111,1.2,50,1,0.528,3,Interface
TAB,TABER180,23873,57,2,0.111111111,1.6,100,0,0.528,6,Enlace e interface
TAB,TABER181,23874,53,4,0.111111111,1.3,50,1,0.528,6,Enlace e interface
TAB,TABER182,23875,54,4,0.111111111,1.6,75,1,0.528,6,Enlace e interface
TAB,TABER184,23876,36,2,0.055555556,1.5,100,0,0.264,1,Apego
TAB,TABER185,23877,42,2,0.111111111,1.8,100,0,0.528,6,Enlace e interface
TAB,TABER186,23878,52,2,0.111111111,1.4,100,0,0.264,3,Interface
TAB,TABER187,23879,44,2,0.111111111,1.4,50,1,0.528,6,Enlace e interface
TAB,TABER188,23880,36,2,0.111111111,1.8,1.8,1,0.528,4,Apego y enlace
TAB,TABER190,23881,78,4.5,0.055555556,0.6,100,0,0.264,3,Interface
TAB,TABER191,23882,55,3,0.055555556,0.8,100,0,0.264,3,Interface
TAB,TABER192,23883,50,4.5,0.166666667,1,100,0,0.792,6,Enlace e interface
TAB,TABER193,23884,51,3,0.055555556,0.8,100,0,0.264,3,Interface
TAB,TABER194,23885,55,3,0.055555556,0.6,100,0,0.264,3,Interface
TAB,TABER195,23886,52,3,0.055555556,0.6,100,0,0.264,3,Interface
TAB,TABER196,23887,39,3,0.111111111,0.8,100,0,0.528,2,Enlace
TAB,TABER197,23888,55,3,0.055555556,0.7,100,0,0.264,3,Interface
TAB,TABER198,23889,62,4.5,0.055555556,0.6,100,0,0.264,3,Interface
TAB,TABER199,23890,52,3,0.055555556,0.7,100,0,0.264,3,Interface
TAB,TABER200,23891,54,3,0.055555556,0.7,100,0,0.264,3,Interface
TAB,TABER201,23892,39,4.5,0.111111111,0.6,100,0,0.528,2,Enlace
TAB,TABER202,23893,50,3,0.055555556,0.6,100,0,0.264,3,Interface
TAB,TABER203,23894,43,3,0.055555556,0.4,100,0,0.264,3,Interface
TAB,TABER204,23895,63,3,0.111111111,0.6,100,0,0.528,2,Enlace
TAB,TABER205,23896,44,3,0.111111111,0.6,100,0,0.528,2,Enlace
TAB,TABER206,23897,45,3,0.055555556,0.7,100,0,0.264,3,Interface
TAB,TABER207,23898,66,3,0.166666667,0.6,100,0,0.792,6,Enlace e interface
TAB,TABER208,23899,67,2.5,0.055555556,0.6,100,0,0.264,3,Interface
TAB,TABER209,23900,47,2,0.055555556,0.8,100,0,0.264,3,Interface
TAB,TABER210,23901,59,2,0.222222222,0.7,100,0,1.055,6,Enlace e interface
TAB,TABER211,23902,31,3.5,0.111111111,0.6,100,0,0.528,3,Interface
TAB,TABER212,23903,27,2,0.166666667,0.8,100,0,0.792,6,Enlace e interface
TAB,TABER213,23904,60,5,0.111111111,0.6,100,0,0.528,2,Enlace
TAB,TABER214,23905,64,2.2,0.111111111,0.7,100,0,0.528,3,Interface
TAB,TABER215,23906,46,2.2,0.055555556,0.6,100,0,0.264,3,Interface
TAB,TABER216,23907,47,2.2,0.111111111,0.8,100,0,0.528,3,Interface
TAB,TABER217,23908,58,2.5,0.111111111,0.6,100,0,0.528,2,Enlace
TAB,TABER218,23909,56,2,0.111111111,0.6,100,0,0.528,3,Interface
TAB,TABER219,23910,53,3,0.111111111,0.6,100,0,0.528,3,Interface
TAB,TABER220,23911,52,2.1,0.055555556,0.7,100,0,0.264,3,Interface
TAB,TABER221,23912,76,3,0.055555556,0.5,100,0,0.264,3,Interface
TAB,TABER222,23913,55,2,0.055555556,0.6,100,0,0.264,3,Interface
TAB,TABER223,23914,74,2.5,0.055555556,0.5,100,0,0.264,3,Interface
TAB,TABER224,23915,56,2,0.055555556,0.6,100,0,0.264,3,Interface
TAB,TABER225,23916,76,3,0.166666667,1,30,2,0.792,2,Enlace
TAB,TABER227,23917,73,2,0.166666667,1,50,1,0.792,2,Enlace
TAB,TABER228,23918,61,3,0,0.6,100,0,0,0,Ausente
TAB,TABER229,23919,46,3,0.166666667,1,50,1,0.792,2,Enlace
TAB,TABER230,23920,61,3.5,0.055555556,0.8,100,0,0.264,3,Interface
TAB,TABER231,23921,47,2,0.055555556,0.5,100,0,0.264,3,Interface
TAB,TABER232,23922,61,2,0.166666667,1,50,1,0.792,2,Enlace
TAB,TABER233,23923,51,3,0.166666667,1,30,1,0.792,2,Enlace
TAB,TABER234,23924,54,3.5,0.055555556,0.8,100,0,0.264,3,Interface
TAB,TABER235,23925,61,2,0.166666667,1,50,1,0.792,2,Enlace
TAB,TABER237,23926,70,2,0.055555556,1,50,1,0.264,2,Enlace
TAB,TABER238,23927,62,3,0,0.4,100,0,0,0,Ausente
TAB,TABER239,23928,53,2,0.111111111,1,50,1,0.528,2,Enlace
TAB,TABER240,23929,55,3,0.055555556,0.6,100,0,0.264,3,Interface
TAB,TABER241,23930,55,2,0.111111111,1,50,1,0.528,2,Enlace
TAB,TABER242,23931,56,3,0,0.8,100,0,0,0,Ausente
TAB,TABER243,23932,60,3,0.166666667,1,30,1,0.792,2,Enlace
TAB,TABER244,23933,72,3,0.055555556,0.8,100,0,0.264,3,Interface
TAB,TABER245,23934,85,2.5,0,0.6,100,0,0,0,Ausente
TAB,TABER246,23935,56,4,0.055555556,1,70,1,0.264,3,Interface
TAB,TABER247,23936,49,2,0.055555556,0.8,100,0,0.264,3,Interface
TAB,TABER248,23937,55,2,0.055555556,0.7,100,0,0.264,3,Interface
TAB,TABER249,23938,83,2.5,0.055555556,0.5,100,0,0.264,3,Interface
TAB,TABER250,23939,36,2,0.055555556,0.8,100,0,0.264,3,Interface
TAB,TABER251,23940,58,4,0.055555556,0.8,100,0,0.264,3,Interface
TAB,TABER252,23941,63,2,0.055555556,0.6,100,0,0.264,3,Interface
TAB,TABER253,23942,46,5,0.111111111,1.2,0,1,0.528,6,Enlace e interface
TAB,TABER255,23943,46,3,0.166666667,1,25,1,0.528,2,Enlace
TAB,TABER256,23944,83,2,0.111111111,2,50,1,0.528,2,Enlace
TAB,TABER257,23945,70,2,0.111111111,2,20,1,0.528,2,Enlace
TAB,TABER259,23946,69,2,0.111111111,2.5,30,0,0.528,2,Enlace
TAB,TABER261,23947,54,1,0.166666667,2.5,30,1,0.792,2,Enlace
TAB,TABER262,23948,58,5,0.111111111,1,100,0,0.528,6,Enlace e interface
TAB,TABER263,23949,46,2,0.055555556,0.8,100,0,0.264,3,Interface
TAB,TABER265,23950,80,3,0.055555556,1,100,0,0.264,3,Interface
TAB,TABER266,23951,60,4,0,1,100,0,0,0,Ausente
TAB,TABER267,23952,67,2,0,0.6,100,0,0,0,Ausente
TAB,TABER270,23953,78,3,0,0.8,100,0,0,0,Ausente
TAB,TABER272,23954,54,3,0,1.2,100,0,0,0,Ausente
TAB,TABER273,23955,63,2,0,0.8,100,0,0,0,Ausente
TAB,TABER274,23956,84,4,0,0.6,100,0,0,0,Ausente
TAB,TABER276,23957,64,4,0.055555556,1,100,0,0.264,3,Interface
TAB,TABER277,23958,74,4,0,0.8,100,0,0,0,Ausente
TAB,TABER278,23959,84,4,0,0.6,100,0,0,0,Ausente
TAB,TABER279,23960,82,2,0.055555556,0.6,100,0,0.264,2,Enlace
TAB,TABER280,23961,56,3.5,0.055555556,0.8,100,0,0.264,2,Enlace
